state,county,cases,deaths
Alabama,Elmore,12,0
Alabama,Jefferson,282,0
Alabama,Limestone,22,0
Alabama,Montgomery,31,1
Alabama,Tuscaloosa,29,0
Alabama,Baldwin,19,0
Alabama,Lee,75,2
Alabama,Shelby,86,2
Alabama,Madison,100,1
Alabama,St. Clair,15,0
Alabama,Calhoun,9,0
Alabama,Talladega,7,0
Alabama,Chambers,36,3
Alabama,Mobile,53,1
Alabama,Walker,32,0
Alabama,Cullman,8,0
Alabama,Jackson,8,1
Alabama,Lamar,1,0
Alabama,Lauderdale,12,1
Alabama,Washington,3,0
Alabama,Marion,9,0
Alabama,Franklin,3,0
Alabama,Houston,8,0
Alabama,Tallapoosa,13,1
Alabama,Autauga,7,0
Alabama,Morgan,20,0
Alabama,Blount,5,0
Alabama,Butler,1,0
Alabama,Cherokee,2,0
Alabama,Chilton,11,0
Alabama,Clay,2,0
Alabama,Cleburne,5,0
Alabama,Colbert,4,0
Alabama,Dallas,2,0
Alabama,Etowah,8,0
Alabama,Lawrence,3,0
Alabama,Marshall,6,0
Alabama,Pickens,4,0
Alabama,Pike,4,0
Alabama,Russell,1,0
Alabama,Wilcox,3,0
Alabama,Bullock,3,0
Alabama,Choctaw,3,0
Alabama,Coosa,4,0
Alabama,Crenshaw,1,0
Alabama,DeKalb,4,0
Alabama,Lowndes,1,0
Alabama,Marengo,4,0
Alabama,Covington,2,0
Alabama,Escambia,1,0
Alabama,Greene,3,0
Alabama,Randolph,2,0
Alabama,Winston,2,0
Alabama,Monroe,1,0
Alabama,Macon,1,0
Alabama,Bibb,3,0
Alabama,Fayette,1,0
Alabama,Hale,1,0
Alabama,Sumter,1,0
Alaska,Anchorage,65,2
Alaska,Fairbanks North Star Borough,35,0
Alaska,Ketchikan Gateway Borough,13,0
Alaska,Kenai Peninsula Borough,8,0
Alaska,Juneau City and Borough,9,0
Alaska,Matanuska-Susitna Borough,3,0
Arizona,Maricopa,791,8
Arizona,Pinal,62,0
Arizona,Pima,202,6
Arizona,Graham,2,0
Arizona,Navajo,91,0
Arizona,Coconino,81,3
Arizona,Santa Cruz,2,0
Arizona,Yavapai,24,0
Arizona,Yuma,12,0
Arizona,Apache,16,0
Arizona,Cochise,4,0
Arizona,La Paz,2,0
Arizona,Mohave,7,0
Arizona,Gila,1,0
Arizona,Greenlee,1,0
Arkansas,Jefferson,40,0
Arkansas,Pulaski,103,3
Arkansas,Garland,31,0
Arkansas,Saline,11,0
Arkansas,Cleburne,61,2
Arkansas,Cleveland,5,0
Arkansas,Desha,2,0
Arkansas,Lincoln,6,0
Arkansas,Bradley,4,0
Arkansas,Faulkner,36,0
Arkansas,Washington,22,0
Arkansas,Benton,38,0
Arkansas,Boone,2,0
Arkansas,Clark,24,0
Arkansas,Craighead,10,0
Arkansas,Crittenden,29,0
Arkansas,Grant,3,0
Arkansas,Greene,4,0
Arkansas,Independence,4,0
Arkansas,Poinsett,5,0
Arkansas,Polk,4,0
Arkansas,Pope,6,0
Arkansas,Searcy,4,0
Arkansas,Sebastian,8,0
Arkansas,Sevier,2,0
Arkansas,Van Buren,19,1
Arkansas,Unknown,61,5
Arkansas,Columbia,2,0
Arkansas,Conway,2,1
Arkansas,Crawford,3,0
Arkansas,Cross,2,0
Arkansas,Hempstead,1,0
Arkansas,Hot Spring,4,0
Arkansas,Lawrence,1,0
Arkansas,Pike,2,0
Arkansas,Stone,5,0
Arkansas,Union,8,0
Arkansas,White,11,0
Arkansas,Woodruff,1,0
Arkansas,Drew,2,0
Arkansas,Chicot,2,0
Arkansas,Howard,4,0
Arkansas,Lonoke,6,0
Arkansas,Randolph,3,0
Arkansas,Baxter,3,0
Arkansas,Johnson,3,0
Arkansas,Arkansas,2,0
Arkansas,Ashley,1,0
Arkansas,Nevada,1,0
Arkansas,Perry,2,0
Arkansas,Newton,1,0
Arkansas,St. Francis,2,0
Arkansas,Miller,1,0
Arkansas,Scott,1,0
California,Orange,502,7
California,Los Angeles,3011,54
California,Santa Clara,890,31
California,San Francisco,400,6
California,San Diego,734,9
California,Humboldt,27,0
California,Sacramento,224,7
California,Solano,54,0
California,Marin,102,4
California,Napa,16,1
California,Sonoma,85,1
California,Alameda,334,7
California,Placer,67,2
California,San Mateo,309,10
California,Contra Costa,222,3
California,Yolo,25,1
California,Fresno,68,0
California,Madera,23,1
California,Riverside,371,13
California,Santa Cruz,49,1
California,Shasta,6,1
California,San Joaquin,151,8
California,Ventura,149,5
California,Stanislaus,39,0
California,Tulare,45,3
California,San Benito,21,1
California,San Luis Obispo,80,0
California,San Bernardino,183,6
California,Santa Barbara,99,0
California,Nevada,21,0
California,Kern,101,1
California,Monterey,42,2
California,Mendocino,4,0
California,Amador,2,0
California,Imperial,38,0
California,Butte,8,0
California,El Dorado,18,0
California,Siskiyou,3,0
California,Yuba,7,0
California,Unknown,1,0
California,Calaveras,3,0
California,Merced,10,0
California,Mono,13,1
California,Inyo,8,0
California,Sutter,10,0
California,Colusa,1,0
California,Kings,4,0
California,Glenn,2,0
California,Tuolumne,1,0
California,Alpine,1,0
California,Plumas,1,0
Colorado,Douglas,144,0
Colorado,Jefferson,304,6
Colorado,Denver,539,7
Colorado,Eagle,227,4
Colorado,El Paso,286,13
Colorado,Arapahoe,350,6
Colorado,Larimer,99,6
Colorado,Gunnison,82,1
Colorado,Pitkin,30,2
Colorado,Adams,185,2
Colorado,Clear Creek,4,0
Colorado,Pueblo,21,2
Colorado,Routt,17,0
Colorado,Summit,20,0
Colorado,Weld,255,12
Colorado,Boulder,107,2
Colorado,Mesa,14,0
Colorado,Garfield,33,1
Colorado,Yuma,2,0
Colorado,Crowley,1,1
Colorado,Grand,4,0
Colorado,Morgan,4,0
Colorado,Broomfield,20,1
Colorado,Park,3,0
Colorado,San Miguel,4,0
Colorado,Chaffee,17,1
Colorado,Elbert,5,0
Colorado,Hinsdale,1,0
Colorado,Montrose,13,0
Colorado,Unknown,129,0
Colorado,La Plata,23,0
Colorado,Logan,6,0
Colorado,Teller,7,1
Colorado,Delta,1,0
Colorado,Fremont,2,0
Colorado,Huerfano,1,0
Colorado,Otero,3,0
Colorado,Kit Carson,2,0
Colorado,Rio Grande,5,0
Colorado,Washington,1,0
Colorado,Alamosa,1,0
Colorado,Costilla,3,0
Colorado,Lincoln,1,0
Colorado,Baca,3,0
Colorado,Moffat,4,0
Colorado,Mineral,2,0
Colorado,Montezuma,1,0
Colorado,Archuleta,1,0
Colorado,Phillips,1,0
Colorado,Lake,1,0
Colorado,Saguache,1,0
Connecticut,Fairfield,1870,38
Connecticut,Litchfield,121,1
Connecticut,Hartford,393,7
Connecticut,New Haven,517,12
Connecticut,Middlesex,56,1
Connecticut,Tolland,56,7
Connecticut,Windham,11,0
Connecticut,New London,27,1
Connecticut,Unknown,77,2
Delaware,New Castle,197,6
Delaware,Sussex,88,2
Delaware,Kent,34,2
Florida,Hillsborough,305,3
Florida,Manatee,53,2
Florida,Santa Rosa,44,2
Florida,Broward,1219,12
Florida,Lee,206,8
Florida,Charlotte,24,0
Florida,Okaloosa,39,1
Florida,Volusia,80,1
Florida,Alachua,87,0
Florida,Collier,146,1
Florida,Nassau,10,0
Florida,Pasco,40,2
Florida,Pinellas,167,5
Florida,Miami-Dade,2123,7
Florida,St. Johns,79,2
Florida,Clay,41,5
Florida,Duval,207,4
Florida,Palm Beach,551,14
Florida,Sarasota,76,3
Florida,Seminole,103,0
Florida,Orange,373,4
Florida,Osceola,110,1
Florida,Baker,9,0
Florida,Citrus,19,2
Florida,Escambia,94,0
Florida,Lake,66,0
Florida,Brevard,37,0
Florida,Polk,73,1
Florida,Leon,26,0
Florida,Sumter,51,0
Florida,Walton,18,0
Florida,Hernando,24,0
Florida,Indian River,33,0
Florida,Jackson,2,0
Florida,Martin,28,0
Florida,Monroe,27,0
Florida,Bay,8,0
Florida,Highlands,17,1
Florida,Marion,28,0
Florida,Putnam,13,0
Florida,St. Lucie,38,2
Florida,Bradford,2,0
Florida,Columbia,3,0
Florida,DeSoto,7,1
Florida,Flagler,18,0
Florida,Unknown,2,0
Florida,Gadsden,1,0
Florida,Washington,1,0
Florida,Levy,2,0
Florida,Suwannee,3,0
Florida,Hendry,4,0
Florida,Glades,3,1
Florida,Wakulla,1,0
Florida,Holmes,1,0
Florida,Calhoun,1,0
Florida,Union,1,0
Georgia,Fulton,599,18
Georgia,Polk,15,0
Georgia,Cobb,287,13
Georgia,Gwinnett,242,2
Georgia,Cherokee,78,3
Georgia,DeKalb,360,4
Georgia,Fayette,48,4
Georgia,Floyd,50,2
Georgia,Charlton,1,0
Georgia,Bartow,137,3
Georgia,Lee,90,7
Georgia,Lowndes,23,1
Georgia,Gordon,16,1
Georgia,Henry,86,2
Georgia,Coweta,41,2
Georgia,Clarke,51,5
Georgia,Clayton,112,3
Georgia,Dougherty,466,26
Georgia,Newton,31,0
Georgia,Forsyth,47,1
Georgia,Hall,67,0
Georgia,Paulding,31,0
Georgia,Troup,18,1
Georgia,Richmond,40,0
Georgia,Whitfield,10,1
Georgia,Columbia,24,0
Georgia,Houston,30,3
Georgia,Bibb,20,0
